,MINE_ID,CURRENT_MINE_NAME,COAL_METAL_IND,CURRENT_MINE_TYPE,CURRENT_MINE_STATUS,CURRENT_STATUS_DT,CURRENT_CONTROLLER_ID,CURRENT_CONTROLLER_NAME,CURRENT_OPERATOR_ID,CURRENT_OPERATOR_NAME,STATE,BOM_STATE_CD,FIPS_CNTY_CD,FIPS_CNTY_NM,CONG_DIST_CD,COMPANY_TYPE,CURRENT_CONTROLLER_BEGIN_DT,DISTRICT,OFFICE_CD,OFFICE_NAME,ASSESS_CTRL_NO,PRIMARY_SIC_CD,PRIMARY_SIC,PRIMARY_SIC_CD_1,PRIMARY_SIC_CD_SFX,SECONDARY_SIC_CD,SECONDARY_SIC,SECONDARY_SIC_CD_1,SECONDARY_SIC_CD_SFX,PRIMARY_CANVASS_CD,PRIMARY_CANVASS,SECONDARY_CANVASS_CD,SECONDARY_CANVASS,CURRENT_103I,CURRENT_103I_DT,PORTABLE_OPERATION,PORTABLE_FIPS_ST_CD,DAYS_PER_WEEK,HOURS_PER_SHIFT,PROD_SHIFTS_PER_DAY,MAINT_SHIFTS_PER_DAY,NO_EMPLOYEES,PART48_TRAINING,LONGITUDE,LATITUDE,AVG_MINE_HEIGHT,MINE_GAS_CATEGORY_CD,METHANE_LIBERATION,NO_PRODUCING_PITS,NO_NONPRODUCING_PITS,NO_TAILING_PONDS,PILLAR_RECOVERY_USED,HIGHWALL_MINER_USED,MULTIPLE_PITS,MINERS_REP_IND,SAFETY_COMMITTEE_IND,MILES_FROM_OFFICE,DIRECTIONS_TO_MINE,NEAREST_TOWN
245,4604695,No 2 Mine,C,Underground,Abandoned,09/26/1980,C05525,American Mountaineer Mining Inc,P06656,Stevan Coal Company,WV,46,45,Logan,3.0,Other,05/06/1977,C12,C1200,"Pineville, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
283,4602068,#46 Mine,C,Underground,Abandoned,07/01/1976,C01776,Bethlehem Steel Corp,P02031,Bethlehem Mines Corp,WV,46,5,Boone,3.0,Corporation,01/01/1950,C04,C0400,"Mt. Hope, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
289,4605301,Harbaugh Strip,C,Surface,Abandoned,04/14/1977,C02939,Renner John L Jr,P03564,Northwest Coal Company,WV,46,77,Preston,1.0,Other,09/28/1976,C06,C0600,"Pikeville, KY",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
295,4605257,No 2 Surface,C,Surface,Abandoned,06/20/1978,C02900,Thecker Duncan & Lewis Ellison,P03514,Campbell Mining Company,WV,46,19,Fayette,3.0,Other,08/18/1976,C04,C0400,"Mt. Hope, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
317,4603842,No 1 Tipple,C,Facility,Abandoned,05/20/1974,C31455,Matewan Coal Sales Inc,P31455,Matewan Coal Sales Inc,WV,46,59,Mingo,3.0,Other,01/01/1950,C12,C1200,"Pineville, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
327,4602505,No 1 Mine Ug,C,Underground,Abandoned,05/05/1980,C31069,Irene Coal Company,P31069,Irene Coal Company,WV,46,109,Wyoming,3.0,Other,01/01/1950,C12,C1200,"Pineville, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
362,4604764,Auger Machine No 2,C,Surface,Abandoned,10/01/1979,C01174,Smeltzer Donald,P01359,Smeltzer Augering Company,WV,46,23,Grant,1.0,Other,05/01/1975,C03,C0300,"Morgantown, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
387,4609345,Remining #3,C,Surface,Active,03/19/2012,0098293,Rhino Resource Partners LP,0051241,CAM Mining LLC,WV,46,59,Mingo,3.0,Other,07/07/2009,C12,C1203,Logan WV Field Office,000287223,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Never Had 103I Status,,N,,5,10.0,1.0,0.0,6.0,N,82.102777,37.602777,,,,1.0,0.0,,N,Y,N,N,N,0,8 miles south of Matewan on route 49.,Edgarton
433,4604282,No 3 Mine,C,Underground,Abandoned,05/30/1978,C00203,Brady Samuel D Iii,P00331,Brady Cline Coal Company,WV,46,67,Nicholas,2.0,Other,09/04/1974,C04,C0400,"Mt. Hope, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
483,4608983,22 Short Surface Mine,C,Surface,New Mine,03/05/2003,C15868,William D  Abraham,P23438,"Falcon Land Company, Inc.",WV,46,45,Logan,3.0,Corporation,03/05/2003,C12,C1203,Logan WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Never Had 103I Status,,N,,0,0.0,0.0,0.0,0.0,N,82.091944,37.723888,0.0,,,,0.0,,N,N,N,N,N,0,5.4 Miles on 22 Mine Road Exit Off  of US119,Holden
508,4608933,White Oak,C,Underground,Abandoned and Sealed,05/16/2012,0041211,"Alpha Natural Resources, Inc.",P21654,Independence Coal Company Inc,WV,46,5,Boone,3.0,Corporation,01/24/2002,C04,C0406,Madison WV Field Office,000096400,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Never Had 103I Status,,N,,0,0.0,0.0,0.0,0.0,N,81.661944,38.030277,84.0,,0.0,,0.0,,N,N,N,N,N,20,7 miles up Robinson Creek Road from Rt 85 top of Williams Mountain,Madison
514,4604232,Crooked Run Strip,C,Surface,Abandoned,04/13/1978,C04937,Rogers Robert,P05904,R & A Coal Company,WV,46,33,Harrison,1.0,Other,06/01/1974,C03,C0300,"Morgantown, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
529,4601672,K & H Mine No 3,C,Underground,Abandoned,06/28/1977,C00481,Kennie Ray  Childers,P00583,K & H Coal Company,WV,46,47,Mcdowell,3.0,Other,01/01/1950,C12,C1200,"Pineville, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
545,4605723,No 1 Surface,C,Surface,Abandoned,12/12/1980,C03148,Coventry Energy Corp,P07832,Ellison Coal Company Inc,WV,46,67,Nicholas,2.0,Other,02/01/1978,C04,C0400,"Mt. Hope, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
559,4604344,Logan #1,C,Surface,Abandoned,12/21/1982,C02900,Thecker Duncan & Lewis Ellison,P03514,Campbell Mining Company,WV,46,45,Logan,3.0,Other,08/10/1981,C12,C1203,Logan WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,,,,0.0,N,81.8561,37.8375,,,,0.0,0.0,,N,N,N,N,N,0,,Ethel
560,4604520,Diane Mine,C,Underground,Abandoned and Sealed,08/03/1983,C06492,Voest-Alpine International Corp,P08044,Virginia Crews Coal Company,WV,46,47,Mcdowell,3.0,Other,03/22/1978,C12,C1201,Pineville WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,,,,0.0,N,81.8931,37.4508,29.0,,0.0,,,,N,N,N,N,N,0,,Panther
572,4604353,Snake Den Mine,C,Surface,Abandoned,06/17/1976,C02887,Riffle Kenneth H & Frank Smith,P03487,R & S Mining Company,WV,46,83,Randolph,2.0,Other,10/21/1974,C03,C0300,"Morgantown, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
587,4605609,No 1 Mine,C,Underground,Abandoned,06/01/1978,C06055,Wilcher Geoffrey S,P07338,C N Wilcher Mining,WV,46,19,Fayette,3.0,Other,08/01/1977,C04,C0400,"Mt. Hope, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
596,4601399,Ashland Mine No 11 Ug,C,Underground,Abandoned,09/30/1971,C02197,Walker George F,P02552,Ashland Mining Corp,WV,46,47,Mcdowell,3.0,Corporation,01/01/1950,C12,C1200,"Pineville, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
603,4603862,No 10 Mine,C,Underground,Abandoned,09/09/1974,C02508,Massey Energy Company,P02960,Trace Fork Coal Company,WV,46,47,Mcdowell,3.0,Other,01/01/1973,C12,C1200,"Pineville, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
611,4601919,No 1 Mine,C,Underground,Abandoned,01/17/1972,C32091,Syracuse Coal Company,P32091,Syracuse Coal Company,WV,46,77,Preston,1.0,Other,01/01/1950,C03,C0300,"Morgantown, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
699,4602293,No 1 Strip Mine,C,Surface,Abandoned,12/19/1972,C32081,Superior Paving Company,P32081,Superior Paving Company,WV,46,25,Greenbrier,3.0,Other,01/01/1950,C04,C0400,"Mt. Hope, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
705,4604144,Comet Coal No 1,C,Surface,Abandoned,05/20/1981,C05936,Marrara Joe,P07173,Kingwood Engineering Corp,WV,46,77,Preston,1.0,Corporation,05/01/1974,C03,C0300,"Morgantown, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
737,4608870,Synergy Surface Mine No 1,C,Surface,Active,04/23/2001,C15194,Douglas M  Epling,P24500,Legacy Resources LLC,WV,46,5,Boone,3.0,Other,05/15/2002,C04,C0406,Madison WV Field Office,000289617,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Never Had 103I Status,,N,,5,10.0,2.0,1.0,81.0,N,81.630555,37.91,35.0,,,4.0,1.0,,N,N,Y,N,N,23,near Whitesville,Wharton
753,4602650,No 1 Strip,C,Surface,Abandoned,01/12/1978,C02403,Reckart Melvin D,P02801,Rocky Ridge Enterprises,WV,46,77,Preston,1.0,Other,01/01/1950,C03,C0300,"Morgantown, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
758,4604559,No 1 Mine,C,Underground,Abandoned,02/07/1978,C30220,Bowling D L Jr,P30220,Big Creek Coal Co,WV,46,47,Mcdowell,3.0,Other,01/01/1950,C12,C1200,"Pineville, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
784,4608989,Campbell Creek No 14 Mine,C,Underground,New Mine,04/01/2003,0071611,Patriot Coal Corporation,P24184,"Eastern Associated Coal, LLC",WV,46,5,Boone,3.0,Other,04/01/2003,C04,C0406,Madison WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Never Had 103I Status,,N,,0,0.0,0.0,0.0,,N,81.679722,37.906111,,,0.0,,0.0,,N,N,N,N,N,0,"approx. 1 mile north of Wharton, WV",Wharton
830,4600612,No 8-Mine,C,Underground,Abandoned,04/10/1980,C00479,Valiunas J K,P00582,Douglas Pocahontas Coal Corp,WV,46,47,Mcdowell,3.0,Corporation,01/01/1950,C12,C1200,"Pineville, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
831,4609268,Threemile Surface Mine,C,Surface,Abandoned,01/27/2009,0071611,Patriot Coal Corporation,0082465,Coyote Coal Company LLC,WV,46,5,Boone,3.0,Other,03/04/2008,C04,C0402,Mt. Carbon WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Never Had 103I Status,,N,,0,0.0,0.0,0.0,0.0,N,81.535555,38.0625,22.0,,,,0.0,,N,Y,N,N,N,35,"From WV State Rt. 3 turn onto county Rt. 14 at Orgas, WV.  Follow county Rt. 14 to haulroad at main office.",Orgas
833,4603124,No 1 Strip Mine,C,Surface,Abandoned,03/28/1973,C01101,Beasley Industries Inc,P01300,Peaker Run Coal Company Inc,WV,46,101,Webster,3.0,Other,01/01/1950,C04,C0400,"Mt. Hope, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
879,4601728,No 2 Mine,C,Underground,Abandoned,03/11/1971,C30229,Big Knob Coal Co,P30229,Big Knob Coal Co,WV,46,67,Nicholas,2.0,Other,01/01/1950,C04,C0400,"Mt. Hope, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
882,4601750,No 2 Mine,C,Underground,Abandoned,07/15/1971,C00853,Dickenson Carl J,P01015,Laura Coal & Coke Company Inc,WV,46,45,Logan,3.0,Other,01/01/1950,C12,C1200,"Pineville, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
894,4604830,No 22 Mine,C,Underground,Abandoned,07/13/1976,C00479,Valiunas J K,P00582,Douglas Pocahontas Coal Corp,WV,46,47,Mcdowell,3.0,Corporation,07/21/1975,C12,C1200,"Pineville, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
900,4609224,George Washington Mine,C,Underground,Abandoned,09/29/2011,,,,Washington and Jefferson Coal Company,WV,46,77,Preston,1.0,,,C03,C0301,Morgantown WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Never Had 103I Status,,Y,54.0,0,0.0,0.0,0.0,,N,1.016944,1.016944,0.0,,0.0,,0.0,,N,N,N,N,N,0,,Newburg
904,4604934,Hernshaw No 1,C,Underground,Abandoned and Sealed,10/11/1983,C00880,Eastern Gas & Fuel Association,P01037,Eastern Associated Coal Corp,WV,46,5,Boone,3.0,Corporation,11/05/1975,C04,C0401,Mt. Hope WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,,,,0.0,N,81.607222,37.811388,50.0,,0.0,,0.0,,N,N,N,N,N,0,,Bald Knob
905,4605070,Maben No 5,C,Underground,Abandoned and Sealed,12/30/1985,C01620,Henry Paul  Kizer,P07256,Maben Energy Corp,WV,46,109,Wyoming,3.0,Corporation,01/06/1985,C12,C1201,Pineville WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,,,,0.0,N,82.3569,37.4442,40.0,,0.0,,,,N,N,N,N,N,0,,Wyco
914,4605501,No 1,C,Underground,Abandoned,09/26/1980,C05269,Akers Robert & Robert R--Brady Adams,P06328,Beth Ann Coal Company,WV,46,45,Logan,3.0,Other,05/10/1977,C12,C1203,Logan WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,,,,0.0,N,81.9269,38.9117,,,0.0,,,,N,N,N,N,N,0,,Lake
915,4605583,Valley Mining Company No 2,C,Underground,Abandoned and Sealed,02/23/1982,C06448,Fortney Wayne H Jr,P07987,Valley Mining Company Inc,WV,46,61,Monongalia,1.0,Other,08/01/1977,C03,C0301,Morgantown WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,02/23/1982,N,,0,,,,0.0,N,79.8481,39.6508,,,0.0,,,,N,N,N,N,N,0,,Morgantown
916,4605626,#14 Mine,C,Underground,Abandoned and Sealed,05/04/1994,0041211,"Alpha Natural Resources, Inc.",P24274,Clear Fork Coal Company,WV,46,81,Raleigh,3.0,Other,10/01/1999,C04,C0401,Mt. Hope WV Field Office,460562603552D,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,,,,0.0,N,81.373611,37.872777,45.0,,0.0,,0.0,,N,N,N,N,Y,0,,Clear Creek
922,4605727,Diamond J Mining,C,Underground,Abandoned and Sealed,10/20/1986,C12573,Petry James H,P17977,Diamond J Mining Inc,WV,46,67,Nicholas,2.0,Other,08/20/1986,C04,C0402,Mt. Carbon WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,,,,0.0,N,81.1322,38.2619,29.0,,0.0,,,,N,N,N,N,N,0,,Belva
923,4605810,No 2,C,Underground,Abandoned and Sealed,10/01/1979,C01820,Lebkuecher Ralph P,P02141,Eastern Resources Inc,WV,46,15,Clay,2.0,Other,08/01/1978,C04,C0402,Mt. Carbon WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,,,,0.0,N,81.195,38.4631,49.0,,0.0,,,,N,N,N,N,N,0,,Clay
924,4605818,No 1 Surface,C,Surface,Abandoned,09/30/1981,C07148,Vicellio Oscar,P09048,Oscar Vicellio Inc,WV,46,81,Raleigh,3.0,Other,08/01/1978,C04,C0401,Mt. Hope WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Never Had 103I Status,,N,,0,,,,0.0,N,81.129166,37.875,60.0,,,,0.0,,N,N,N,N,N,0,,Stanaford
925,4605878,No 1 Tipple,C,Facility,Abandoned,04/13/1988,C02605,Anderson Arthur L,P07833,Triple A Coals Inc,WV,46,67,Nicholas,2.0,Other,10/01/1978,C04,C0403,Summersville WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,,,,0.0,N,80.833333,38.333333,,,,,,,N,N,N,N,N,0,,Summersville
927,4606111,No 1 Surface,C,Surface,Abandoned,11/23/1983,C00429,Matney Danny,P00519,D & B Coal Company Inc,WV,46,59,Mingo,3.0,Other,10/05/1983,C12,C1203,Logan WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,,,,0.0,N,82.0986,37.6433,,,,0.0,0.0,,N,N,N,N,N,0,,Red Jacket
928,4606486,No 1 Surface Mine,C,Surface,Abandoned,03/30/1989,C09611,Kizer John E,P13985,Harvey Energy Corp,WV,46,19,Fayette,3.0,Corporation,02/01/1982,C04,C0401,Mt. Hope WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,,,,0.0,N,81.156388,37.895555,10.0,,,,0.0,,N,N,N,N,N,0,,Mt. Hope
929,4606551,Larew Lumber Co,C,Surface,Abandoned,09/25/1985,C04944,Harold J  Rehe,P05911,Sharon Coal Company,WV,46,77,Preston,1.0,Other,07/01/1982,C03,C0301,Morgantown WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1970,N,,0,,,,0.0,N,80.0233,39.6811,40.0,,,0.0,1.0,,N,N,N,N,N,0,,Newburg
930,4606620,Preparation Plant No 1,C,Facility,Abandoned,09/27/1989,C08319,Cummings Thomas,P11015,Cumberland Village Mining Group Inc,WV,46,59,Mingo,3.0,Other,08/01/1982,C12,C1203,Logan WV Field Office,,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Removed From 103I Status,10/01/1981,N,,0,,,,0.0,N,82.1758,37.6419,,,,,,,N,N,N,N,N,0,,Matewan
931,4609054,Republic Energy,C,Surface,Active,10/01/2004,0041211,"Alpha Natural Resources, Inc.",P11051,Elk Run Coal Co,WV,46,19,Fayette,3.0,Corporation,07/14/2004,C04,C0401,Mt. Hope WV Field Office,000290242,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Never Had 103I Status,,N,,6,10.0,2.0,0.0,244.0,N,81.346944,37.976111,54.0,,,8.0,3.0,,N,N,Y,N,N,0,"North on Rt. 16 3.4 miles to Glen Jean.  Turn right on Rt. 61 2.2 miles to Scarbro.  Turn left on Rt. 612 west 7.4 miles to Mossy.  Turn right on Milburn Rd. 1.3 miles to Guard House.  Go 2.1 miles to Kingston 1 road, go right 500 ft, turn right at Kingston #3 intersection, travel 4 mils up refuse & mtn.",Mahan
940,4605104,P W K No 1 Surface,C,Surface,Abandoned,08/08/1977,C04931,Kelley Paul W,P05898,P W K Development Inc,WV,46,33,Harrison,1.0,Other,01/01/1976,C03,C0300,"Morgantown, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
948,4609006,Essex Mine,C,Underground,Abandoned,04/01/2006,0057209,Parkstone Energy LLC,0050162,"Siata, LLC",WV,46,39,Kanawha,2.0,Other,02/17/2006,C04,C0402,Mt. Carbon WV Field Office,000083847,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Never Had 103I Status,,N,,0,0.0,0.0,0.0,0.0,N,81.165555,38.165555,60.0,,0.0,,0.0,,N,N,N,N,N,20,1 mile up Slaughters Creek of Rt. 61,Cabin Creek
